Session ID,Instructor ID,Day of the Week,Time of Day,Duration,Student Registrations,Capacity,Attendance Rate
1,6,Tuesday,12:00,3,29,30,0.8887037809243765
2,1,Wednesday,12:00,1,23,30,0.6297112821726775
3,4,Thursday,18:00,2,18,30,0.6869065689662808
4,4,Thursday,18:00,1,28,30,0.7937998175981945
5,8,Thursday,18:00,2,29,30,0.6364109512122336
6,4,Wednesday,12:00,2,9,30,0.6854263996089444
7,6,Thursday,12:00,3,9,30,0.5985271400928198
8,3,Friday,12:00,1,17,30,0.7299279418780037
9,5,Tuesday,18:00,3,22,30,0.522306150627057
10,8,Wednesday,18:00,1,28,30,0.8998979422853091
11,7,Thursday,15:00,3,27,30,0.5384782234933163
12,9,Tuesday,15:00,1,25,30,0.759417574415763
13,9,Wednesday,15:00,3,6,30,0.6534050497725981
14,2,Tuesday,09:00,1,10,30,0.7887714744156877
15,7,Friday,18:00,1,28,30,0.9797166704167126
16,8,Wednesday,18:00,1,6,30,0.8227851222280019
17,8,Thursday,12:00,1,24,30,0.5176812178777455
18,9,Monday,15:00,2,26,30,0.7152012197540306
19,2,Thursday,18:00,3,28,30,0.7550084261591251
20,6,Wednesday,12:00,1,24,30,0.7680887473517259
21,9,Thursday,18:00,1,27,30,0.8406962553019189
22,5,Monday,18:00,2,27,30,0.6387980488658831
23,4,Monday,12:00,3,12,30,0.5644302827331601
24,1,Monday,12:00,2,14,30,0.6963378382735472
25,4,Thursday,12:00,1,22,30,0.9782028613979744
26,6,Wednesday,09:00,1,14,30,0.5935654458754224
27,1,Thursday,15:00,1,27,30,0.9519919774641186
28,3,Monday,15:00,1,5,30,0.7719029750386632
29,4,Friday,09:00,1,24,30,0.7284557108228829
30,9,Monday,12:00,2,29,30,0.9410207051149448
31,2,Monday,12:00,1,9,30,0.7293019808842929
32,4,Wednesday,09:00,3,22,30,0.8620838183057716
33,4,Thursday,18:00,3,25,30,0.699512660851551
34,4,Wednesday,09:00,3,26,30,0.9520221964504789
35,8,Thursday,09:00,1,21,30,0.8450125100956136
36,1,Monday,18:00,1,8,30,0.8498110271252584
37,2,Monday,15:00,3,15,30,0.6638602007785595
38,1,Monday,12:00,1,6,30,0.8783893213684446
39,5,Thursday,15:00,3,25,30,0.8180305277235707
40,8,Monday,12:00,3,9,30,0.6200101366898547
41,4,Wednesday,15:00,1,9,30,0.5802694112426282
42,3,Wednesday,09:00,2,21,30,0.8981957372586659
43,8,Monday,15:00,2,21,30,0.9795833015176112
44,3,Friday,09:00,2,20,30,0.7290694136300214
45,1,Thursday,12:00,1,15,30,0.7954920826618425
46,1,Friday,12:00,1,18,30,0.9288613220967773
47,5,Monday,12:00,2,13,30,0.7286117266769285
48,6,Friday,09:00,1,16,30,0.975937238416368
49,6,Thursday,18:00,1,25,30,0.7878755810224363
50,7,Thursday,09:00,2,11,30,0.9103835603506575
51,9,Friday,18:00,3,14,30,0.9544218592063691
52,5,Tuesday,09:00,3,20,30,0.9077619093842844
53,2,Thursday,09:00,1,8,30,0.579707231724478
54,5,Monday,09:00,3,24,30,0.8144492195308501
55,9,Monday,09:00,2,17,30,0.6992171293098386
56,2,Monday,12:00,2,23,30,0.5313564760116729
57,2,Tuesday,18:00,3,22,30,0.7120161259449209
58,8,Monday,18:00,2,15,30,0.6293420334447039
59,4,Friday,09:00,3,7,30,0.9245191542142555
60,7,Tuesday,18:00,3,6,30,0.516652313273348
61,8,Thursday,15:00,2,16,30,0.9794913609317368
62,3,Tuesday,15:00,3,8,30,0.6776844242359648
63,1,Monday,12:00,1,17,30,0.6783534452012714
64,4,Monday,12:00,1,9,30,0.508164251341854
65,6,Friday,12:00,3,6,30,0.5926161626180919
66,5,Thursday,15:00,2,22,30,0.7006297504018044
67,5,Thursday,12:00,2,5,30,0.9646457086513569
68,7,Tuesday,12:00,3,12,30,0.5498074651106357
69,5,Monday,09:00,3,29,30,0.9726507667395398
70,5,Monday,12:00,2,9,30,0.9347442652733161
71,4,Tuesday,15:00,1,8,30,0.727081198453776
72,5,Wednesday,12:00,3,10,30,0.66335044088413
73,5,Monday,12:00,1,11,30,0.6163720646395284
74,9,Thursday,09:00,3,8,30,0.8072323532384371
75,5,Tuesday,09:00,1,7,30,0.5165372957377528
76,4,Tuesday,12:00,3,13,30,0.5078030322234142
77,8,Friday,12:00,2,6,30,0.7143978612491189
78,6,Monday,15:00,3,9,30,0.5340370369873602
79,6,Monday,18:00,2,5,30,0.6259704941230464
80,1,Thursday,18:00,1,29,30,0.6105804576730419
81,2,Wednesday,12:00,2,18,30,0.626595596861426
82,6,Thursday,18:00,2,24,30,0.5655276156076289
83,4,Wednesday,18:00,3,14,30,0.5060181114488271
84,1,Friday,18:00,3,26,30,0.5577421485693741
85,6,Thursday,15:00,1,10,30,0.8092401297563739
86,1,Thursday,15:00,2,6,30,0.9871281064090252
87,2,Monday,12:00,1,12,30,0.995172500780447
88,3,Thursday,15:00,1,13,30,0.7045270476865308
89,5,Monday,18:00,1,27,30,0.5814772130233027
90,3,Friday,15:00,3,25,30,0.8193808786832646
91,1,Wednesday,09:00,1,12,30,0.7451526732743685
92,4,Thursday,18:00,2,8,30,0.9947048886422157
93,3,Friday,18:00,1,26,30,0.5326521035758901
94,1,Monday,12:00,3,17,30,0.8916172191569065
95,8,Wednesday,12:00,2,8,30,0.644199248665747
96,6,Thursday,12:00,1,11,30,0.620709310038287
97,1,Thursday,15:00,2,25,30,0.831252285766338
98,3,Tuesday,12:00,3,12,30,0.6230315924954822
99,8,Thursday,12:00,1,24,30,0.8329295587795938
100,3,Friday,12:00,1,5,30,0.7586542586011444
